book_id,review_text,n_votes
15759838,"Life's Rhythms is full of beautiful poems. If you want to be inspired then you should definitely read Vickie's poems. I did not want to rush through either of the books. How can I describe how I felt when reading the poems? I wanted to enter the poem and feel the emotions. Kind of like sitting in my rocker looking out into the piney woods that surround my house. I feel the trees swaying, birds and squirrels playing. Reading her poems were like that, inspiring, heart felt and full of wonder. An emotional experience. 
 I reviewed two of the author's books of poems on my blog. Life's Rhythms and Kaleidoscope combining them in one review. 
 I highly recommend this book. 
 Disclosure 
 I received a free copy of these books from the author for review. I was in no way compensated for this review. It is my own opinion.",1
15759838,"Life's Rhythms is a great selection of traditional haiku. There is beauty as well as current themes reflecting nature and man's misuse of it. The cover art as well I found appropriate and symbolic of the contents. That said, there were a few issues, not so much with the writing as personal taste. I found the 5-7-5 form a bit constrictive. I think the author should have switched it up with 3-5-3 or other variants. Or thrown in an extra syllable for the hell of it. I love traditional haiku but I find it wears on me if I read it in a large volume such as this. The nature themes as well were nice but I would have liked to see Johnstone write with a more personal touch at times.",1
18634307,lktb jyd f~ b`D lnqT fym ykhS lt`ml m` l Hypergamy wn kn khS blrjl fqT,0
18634307,"Rollo is a manlet beta that doesn't lift but that said this book isn't terrible, just feels like a long blog post written by an internet blogger (which it is). All the ""truths"" and ""red pill wisdom"" are just regurgitations that have been written before by better men. One of the lines he writes in here is that ""we are who we say we are"" which is stupid as fuck. Rollo talks a big game online but you see pictures of him at beta convention aka 21 and he looks like a pussy. 
 The first rule of anything red pilled is to lift. And if a guy doesn't lift then he's useless. Also he's married and only produced one kid, very beta.",0
18634307,"Interesting book on gender communication and roles. 
 Would I recommend this book to read? 
 It has merits, and there is a significant amount of truth to it that warrant reading. 
 Personally, I don't agree with everything in the book. 
 Having said that, there is value in knowing different kinds of ""truth"", in order to reach your own version of the truth. 
 What do you all think? What caught your attention from the book?",0
18634307,Excellent book. Must read for every man imo.,0
18634307,"One of the most important books I will ever read. I would recommend this to everyone, but especially men.",1
31921810,An ancient text with a modern commentary. An enjoyable quick read for anyone interested in spirituality and or philosophy. Each of the 81 verses are followed with a brief commentary. The writing is fluid and the commentary easily understandable and applicable. Recommended for the beginner to seasoned readers of the Tao Te Ching.,0
26345942,"To be perfectly honest, I did not like it much as I started reading but that changed soon. Almost as soon as the second chapter. From then on, it was a ride on which I could not predict what was going to be the next destination. Or rather the road traveled. 
 Filled with witty anecdotes here and there and one woman's desire to stand independent on her own, it is a formula of light hearted chick lit. 
 With the intermingling of heart's desire and the brain's logic, it is a perfect book to read for an enjoyable time.",0
26345942,"What an intriguing idea for a novel! A female PI is always a good start as strong female characters that can take of their own problems are too far and few between in the reading world. But Vanna goes further than most. She goes to the extreme. I really liked Vanna and I could feel her pain. But she also drove me a bit nuts as she continued to hold onto something that was gone. Especially when she had something hot and steamy (aka Ringo) to fill her cold nights. 
 Although the novel was well written and witty, it got redundant in places. There were tons and tons of references to the animal kingdom. I found myself skipping some of it. Then there was the psychological mumbo jumbo and the bitterness about men and their inability to be faithful. I understand Vanna's viewpoint. Really, I do, but she did drive me nuts with her one-track negativity at times. 
 I was a bit worried about how this novel would finish. Would it finish? Or leave me hanging? It was actually a good ending for the story. There's plenty of fodder for another novel but Corrigan didn't leave me hanging.",0
26345942,"I received this book as an arc for a honest review. I throughly enjoyed Vanna Treme, private investigator, hater of cheating men. Ringo, her assistant is hot with principles. The book is based in Florida, and Vanna's clients are rich wives from Palm Beach wanting to catch their cheating husbands. Motto: ""Men. You can't live with them. You can't kill them...Or can you?"" Cheating husbands call for extreme measures. Loved the characters, and especially the parrots. I did think the vet was a little long winded but all in all a good entertaining read.",1
